"concept_id","concept_synonym_name","language_concept_id"
45766974,"Pathological fracture of femur due to neoplastic disease (disorder)",4180186
2108631,"Internal mammary artery graft performed for primary, isolated coronary artery bypass graft procedure (cabg)",4180186
2108631,"Internal mammary artery graft performed for primary, isolated coronary artery bypass graft procedure (CABG)",4180186
2108631,"LIMA GRAFT USED IN 1ST ISOLATED CABG PXD",4180186
36880992,"Dalteparin 227 MG/ML Injectable Solution",4180186
41350715,"4 ML Dalteparin 2.5 UNT/ML Injectable Solution [Fragmin]",4180186
2514399,"Established patient office or other outpatient, visit typically 40 minutes",4180186
2514399,"Level 5 outpatient visit for evaluation and management of established patient with problem of moderate to high severity, including comprehensive history and physical examination, and medical decision making of high complexity - typical time with patient and/or family 40 minutes",4180186
2514399,"Level 5 outpatient visit for evaluation and management of established patient with problem of moderate to high severity, including comprehensive history and physical examination - typical time with patient and/or family 40 minutes",4180186
2514399,"Level 5 outpatient visit for evaluation and management of established patient with problem of moderate to high severity, including comprehensive physical examination and medical decision making of high complexity - typical time with patient and/or family 40 minutes",4180186
2514399,"Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A comprehensive history; A comprehensive examination; Medical decision making of high complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Typically, 40 minutes are spent face-to-face with the patient and/or family.",4180186
2514399,"OFFICE OUTPATIENT VISIT 40 MINUTES",4180186
35785593,"0.5 ML Dalteparin 25000 UNT/ML Injectable Solution [Fragmin] Box of 5 by Pfizer",4180186
44831375,"Antepart hem NOS-unspec",4180186
44831375,"Unspecified antepartum hemorrhage, unspecified as to episode of care or not applicable",4180186
41191175,"Dalteparin 10 UNT/ML Injectable Solution [Fragmin] Box of 10",4180186
43719795,"0.2 ML Dalteparin 25000 UNT/ML Injectable Solution Box of 20",4180186
43702143,"0.4 ML Enoxaparin 100 MG/ML Injectable Solution Box of 100",4180186
2107429,"Placement of additional proximal extension prosthesis for endovascular repair of aneurysm of descending thoracic aorta",4180186
2107429,"Placement of additional proximal extension prosthesis for endovascular repair of descending thoracic aorta",4180186
2107429,"Placement of additional proximal extension prosthesis for endovascular repair of dissection of descending thoracic aorta",4180186
2107429,"Placement of additional proximal extension prosthesis for endovascular repair of intramural hematoma of descending thoracic aorta",4180186
2107429,"Placement of additional proximal extension prosthesis for endovascular repair of penetrating ulcer of descending thoracic aorta",4180186
2107429,"Placement of additional proximal extension prosthesis for endovascular repair of pseudoaneurysm of descending thoracic aorta",4180186
2107429,"Placement of additional proximal extension prosthesis for endovascular repair of traumatic disruption of descending thoracic aorta",4180186
2107429,"Placement of proximal extension prosthesis for endovascular repair of aneurysm of descending thoracic aorta",4180186
2107429,"Placement of proximal extension prosthesis for endovascular repair of descending thoracic aorta",4180186
2107429,"Placement of proximal extension prosthesis for endovascular repair of descending thoracic aorta (eg, aneurysm, pseudoaneurysm, dissection, penetrating ulcer, intramural hematoma, or traumatic disruption); each additional proximal extension (List separately in addition to code for primary procedure)",4180186
2107429,"Placement of proximal extension prosthesis for endovascular repair of dissection of descending thoracic aorta",4180186
2107429,"Placement of proximal extension prosthesis for endovascular repair of intramural hematoma of descending thoracic aorta",4180186
2107429,"Placement of proximal extension prosthesis for endovascular repair of penetrating ulcer of descending thoracic aorta",4180186
2107429,"Placement of proximal extension prosthesis for endovascular repair of pseudoaneurysm of descending thoracic aorta",4180186
2107429,"Placement of proximal extension prosthesis for endovascular repair of traumatic disruption of descending thoracic aorta",4180186
2107429,"PLMT PROX XTN PROSTH EVASC RPR DTA EA PROX XTN",4180186
2107429,"Repair of defect of aorta in chest",4180186
4200387,"Arthroplasty, acetabular and proximal femoral, prosthetic replacement",4180186
4200387,"Arthroplasty, acetabular and proximal femoral, prosthetic replacement (procedure)",4180186
43627460,"5 ML Enoxaparin 10000 UNT/ML Injectable Solution Box of 5",4180186
2721133,"Minimally invasive direct co",4180186
2721133,"Minimally invasive direct coronary artery bypass surgery involving mini-thoracotomy or mini-sternotomy surgery, performed under direct vision; using venous graft only, single coronary venous graft",4180186
44836421,"Other and unspecified superficial injury of elbow, forearm, and wrist, without mention of infection",4180186
44836421,"Superf inj forearm NEC",4180186
45134801,"0.5 ML Fondaparinux sodium 5 MG/ML Prefilled Syringe [Arixtra]",4180186
21080282,"dabigatran etexilate 75 MG Oral Capsule [Pradaxa] by Waymade",4180186
41410292,"0.6 ML Enoxaparin 30 UNT/ML Prefilled Syringe [Clexane] Box of 24",4180186
21059492,"150 ML Warfarin 1 MG/ML Oral Suspension by Alliance",4180186
44832775,"Closed fracture of epiphysis, lower (separation) of femur",4180186
44832775,"Fx low femur epiphy-clos",4180186
43677986,"Enoxaparin 100 MG/ML Injectable Solution Box of 20",4180186
45163695,"Warfarin Sodium 2.5 MG Oral Tablet",4180186
40891720,"Enoxaparin 15 UNT/ML [Clexane]",4180186
4046364,"Subarachnoid haemorrhage due to ruptured arteriovenous malformation",4180186
4046364,"Subarachnoid hemorrhage due to ruptured arteriovenous malformation",4180186
4046364,"Subarachnoid hemorrhage due to ruptured arteriovenous malformation (disorder)",4180186
41349012,"3 ML Enoxaparin 33.3 MG/ML Injectable Solution [Clexane]",4180186
43755876,"0.3 ML Dalteparin 227 MG/ML Injectable Solution",4180186
44819719,"Atherosclerosis of nonautologous biological bypass graft of the extremities",4180186
44819719,"Ath ext nonautlg bps gft",4180186
44823493,"Closed fractures involving skull or face with other bones with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness",4180186
44823493,"Cl skl w oth fx w/o coma",4180186
45177341,"Warfarin Sodium 2 MG Oral Tablet [Coumadin]",4180186
44830267,"Retained placenta without hemorrhage, unspecified as to episode of care or not applicable",4180186
44830267,"Retain placenta NOS-unsp",4180186
21165491,"1 ML Dalteparin 10000 UNT/ML Prefilled Syringe by Ennogen",4180186
41406706,"0.4 ML Enoxaparin 100 MG/ML Prefilled Syringe [Clexane] Box of 90 by Sanofi",4180186
44824663,"Opn skul fx NEC-brf coma",4180186
44824663,"Other open skull fracture with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness",4180186
44937591,"Warfarin Sodium 5 MG Oral Tablet",4180186
2725304,"Bypass 3 Cor Art from L Int Mammary w Nonaut Sub, Open",4180186
2725304,"Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach",4180186
2725304,"Medical and Surgical @ Heart and Great Vessels @ Bypass @ Coronary Artery, Three Arteries @ Open @ Nonautologous Tissue Substitute @ Internal Mammary, Left",4180186
21137602,"0.3 ML fondaparinux 5 MG/ML Prefilled Syringe Box of 7",4180186
44829038,"Other specified gastritis, with hemorrhage",4180186
44829038,"Oth spf gastrt w hmrhg",4180186
42535422,"Nontraumatic haemorrhage of subarachnoid space from left posterior communicating artery",4180186
42535422,"Nontraumatic hemorrhage of subarachnoid space from left posterior communicating artery",4180186
42535422,"Spontaneous haemorrhage of subarachnoid space from left posterior communicating artery",4180186
42535422,"Spontaneous hemorrhage of subarachnoid space from left posterior communicating artery",4180186
42535422,"Spontaneous hemorrhage of subarachnoid space from left posterior communicating artery (disorder)",4180186
21085792,"Warfarin 0.5 MG Oral Tablet by Waymade",4180186
41410590,"0.6 ML Enoxaparin 100 MG/ML Prefilled Syringe [Lovenox] Box of 24 by Cc",4180186
45293800,"Warfarin Sodium 5 MG Oral Tablet",4180186
45209002,"Warfarin Sodium 2.5 MG Oral Tablet [Coumadin]",4180186
41405074,"0.2 ML Dalteparin 25000 UNT/ML Prefilled Syringe [Fragmin] Box of 35 by Axicorp",4180186
1533111,"Medical and Surgical @ Lower Joints @ Replacement @ Knee Joint, Right @ Open @ Synthetic Substitute, Oxidized Zirconium on Polyethylene",4180186
4145204,"Transfusion of granulocytes",4180186
4145204,"Transfusion of granulocytes (procedure)",4180186
35806273,"Melphalan, Prednisone, Lenalidomide",4180186
35806273,"Melphalan, Prednisone, Revlimid (Lenalidomide)",4180186
35806273,"MPL",4180186
35806273,"MPR",4180186
44197162,"0.5 ML fondaparinux 5 MG/ML Prefilled Syringe [Arixtra] Box of 20 by Gerke",4180186
37309719,"Open fracture of head of left femur",4180186
37309719,"Open fracture of head of left femur (disorder)",4180186
37309719,"Open fracture of left femoral head",4180186
44901592,"Warfarin Sodium 2 MG Oral Tablet [Coumadin]",4180186
44884713,"Warfarin Sodium 5 MG Oral Tablet",4180186
4030350,"Juvenile Graves' disease",4180186
4030350,"Juvenile Graves' disease (disorder)",4180186
42875888,"Dalteparin 36000 IU/ML [Fragmin]",4180186
436539,"Closed fracture of patella",4180186
436539,"Closed fracture of patella (disorder)",4180186
42731154,"Dalteparin 226 MG/ML Injectable Solution",4180186
44950582,"warfarin sodium 2.5 MG Oral Tablet",4180186
2865769,"Medical and Surgical @ Lower Joints @ Replacement @ Knee Joint, Left @ Open @ Synthetic Substitute",4180186
40481475,"Open reduction of dislocation of knee with external fixation and repair of ligament",4180186
40481475,"Open reduction of dislocation of knee with external fixation and repair of ligament (procedure)",4180186
4301111,"Transfusion of blood expander",4180186
4301111,"Transfusion of blood expander (procedure)",4180186
4301111,"Transfusion of plasma expander",4180186
21134663,"rivaroxaban 15 MG Oral Tablet [Xarelto] Box of 28 by Waymade",4180186
2101660,"Anesthesia for arthroscopic total knee arthroplasty",4180186
2101660,"Anesthesia for open or endoscopic total knee joint replacement",4180186
2101660,"Anesthesia for open or surgical arthroscopic procedures on knee joint; total knee arthroplasty",4180186
2101660,"ANESTH OPEN/SURG ARTHRS TOTAL KNEE ARTHROPLASTY",4180186
38004321,"Residential Treatment Facilities, Substance Abuse Rehabilitation Facility, Substance Abuse Treatment, Children",4180186
3191418,"Prothrombin 2 mutation with hypercoagulability",4180186
45280139,"Warfarin Sodium 6 MG Oral Tablet [Coumadin]",4180186
2104840,"Revision of femoral component of total hip arthroplasty",4180186
2104840,"Revision of femoral component of total hip arthroplasty with allograft",4180186
2104840,"Revision of femoral component of total hip arthroplasty with autograft",4180186
2104840,"Revision of femoral component of total hip arthroplasty without allograft",4180186
2104840,"Revision of femoral component of total hip arthroplasty without autograft",4180186
2104840,"Revision of thigh bone prosthesis",4180186
2104840,"Revision of total hip arthroplasty; femoral component only, with or without allograft",4180186
2104840,"REVJ TOT HIP ARTHRP FEM ONLY W/WO ALGRFT",4180186
41273544,"Dalteparin 24 UNT/ML Prefilled Syringe",4180186
45363370,"warfarin sodium 7.5 MG Oral Tablet",4180186
36894581,"Dalteparin 100 MG/ML Injectable Solution",4180186
43666456,"0.6 ML Dalteparin 227 MG/ML Injectable Solution Box of 35",4180186
44820874,"Occlusion and stenosis of vertebral artery without mention of cerebral infarction",4180186
44820874,"Ocl vrtb art wo infrct",4180186
440755,"Acute duodenal ulcer without haemorrhage, without perforation AND without obstruction",4180186
440755,"Acute duodenal ulcer without hemorrhage, without perforation AND without obstruction",4180186
440755,"Acute duodenal ulcer without hemorrhage, without perforation AND without obstruction (disorder)",4180186
4337193,"Removal of thrombus from implanted pulmonary valve",4180186
4337193,"Removal of thrombus from implanted pulmonary valve (procedure)",4180186
41364734,"10 ML Enoxaparin 1 UNT/ML Injectable Solution [Qualiop] Box of 1",4180186
41406523,"0.4 ML Enoxaparin 10 UNT/ML Prefilled Syringe [Clexane] Box of 20 by Veron",4180186
43197876,"0.2 ML Dalteparin 12500 UNT/ML Prefilled Syringe Box of 6",4180186
321041,"Mitral stenosis and aortic incompetence",4180186
321041,"Mitral stenosis and aortic insufficiency",4180186
321041,"Mitral stenosis and aortic insufficiency (disorder)",4180186
321041,"Mitral stenosis and aortic regurgitation",4180186
41405125,"0.2 ML Dalteparin 12.5 UNT/ML Prefilled Syringe [Fragmin] Box of 200",4180186
41364052,"10 ML Dalteparin 10 UNT/ML Injectable Solution [Fragmin] Box of 4",4180186
44040594,"Warfarin 5 MG [Taro-Warfarin]",4180186
41148892,"Enoxaparin 1 UNT/ML Injectable Solution",4180186
4235461,"Direct thrombectomy of femoropopliteal vein by abdominal and leg incision",4180186
4235461,"Direct thrombectomy of femoropopliteal vein by abdominal and leg incision (procedure)",4180186
44855600,"Warfarin Sodium 3 MG Oral Tablet [Coumadin]",4180186
4015979,"Closed fracture proximal femur, intertrochanteric, comminuted",4180186
4015979,"Closed fracture proximal femur, intertrochanteric, comminuted (disorder)",4180186
43139734,"fondaparinux 12.5 MG/ML Prefilled Syringe Box of 2",4180186
760420,"Closed fracture of greater trochanter of left femur",4180186
760420,"Closed fracture of greater trochanter of left femur (disorder)",4180186
21165490,"1 ML Enoxaparin 100 MG/ML Prefilled Syringe [Clexane] by Sanofi",4180186
35785801,"0.6 ML Enoxaparin 100 MG/ML Injectable Solution [Clexane] Box of 10 by Lexon",4180186
21046548,"Warfarin 5 MG Oral Tablet by DE",4180186
44833053,"Hx-thrombophlebitis",4180186
44833053,"Personal history of thrombophlebitis",4180186
21115242,"Warfarin 2 MG/ML Oral Solution",4180186
4248004,"Platelet apheresis",4180186
4248004,"Plateletpheresis",4180186
4248004,"Plateletpheresis (procedure)",4180186
43264758,"0.2 ML Enoxaparin 100 MG/ML Injection [Clexane]",4180186
21029743,"0.6 ML Dalteparin 25000 UNT/ML Prefilled Syringe [Fragmin] by Pfizer",4180186
45054368,"Warfarin 10 MG Oral Tablet [Warfin]",4180186
44833391,"Autoimmune hemolytic anemias",4180186
44833391,"Autoimmun hemolytic anem",4180186
45331566,"Warfarin Sodium 5 MG Oral Tablet",4180186
21166047,"1 ML Warfarin 2 MG/ML Oral Solution",4180186
40753385,"Warfarin 0.5 MG Oral Tablet Box of 28 by Phoenix Healthcare Distribution",4180186
40042752,"Enoxaparin Injectable Solution",4180186
21078765,"0.2 ML Enoxaparin 100 MG/ML Prefilled Syringe [Clexane] Box of 10 by Mawdsley-Brooks",4180186
40908962,"Enoxaparin 10000 UNT/ML Prefilled Syringe [Clexane] Box of 20",4180186
442533,"Kidney haematoma without rupture of capsule, with open wound into cavity",4180186
442533,"Kidney hematoma without rupture of capsule, with open wound into cavity",4180186
442533,"Kidney hematoma without rupture of capsule, with open wound into cavity (disorder)",4180186
41411077,"0.6 ML Enoxaparin 10 UNT/ML Prefilled Syringe [Lovenox]",4180186
41405090,"0.2 ML Dalteparin 12500000 UNT/ML Prefilled Syringe [Fragmin]",4180186
45379737,"Warfarin Sodium 2.5 MG Oral Tablet [Coumadin]",4180186
2109296,"DESTRUCTION INTERNAL HEMORRHOID THERMAL ENERGY",4180186
2109296,"Destruction of internal anal hemorrhoids",4180186
2109296,"Destruction of internal hemorrhoid(s) by thermal energy (eg, infrared coagulation, cautery, radiofrequency)",4180186
2109296,"Destruction of internal hemorrhoid using thermal energy",4180186
760693,"Pathological fracture of proximal right femur due to neoplastic disease",4180186
760693,"Pathological fracture of proximal right femur due to neoplastic disease (disorder)",4180186
21069041,"0.4 ML fondaparinux 12.5 MG/ML Prefilled Syringe [Arixtra] by Aspen",4180186
201595,"Thrombosed internal haemorrhoids",4180186
201595,"Thrombosed internal hemorrhoids",4180186
201595,"Thrombosed internal hemorrhoids (disorder)",4180186
21119737,"apixaban 2.5 MG Oral Tablet [Eliquis] Box of 60 by Bristol Myers Squibb",4180186
43270258,"0.4 ML fondaparinux 12.5 MG/ML Injection [Arixtra]",4180186
44511688,"Other specified percutaneous removal of thrombus from vein",4180186
40163561,"Coumadin 6 MG Oral Tablet",4180186
40163561,"Warfarin Sodium 6 MG Oral Tablet [Coumadin]",4180186
21049365,"0.5 ML Dalteparin 25000 UNT/ML Prefilled Syringe Box of 5 by Ennogen",4180186
36787913,"edoxaban 30 MG Delayed Release Oral Tablet [Lixiana] Box of 98 by Daiichi Sankyo",4180186
41405055,"0.2 ML Dalteparin 12500 UNT/ML Prefilled Syringe [Fragmin] Box of 25",4180186
43828068,"0.5 ML Dalteparin 228 MG/ML Injectable Solution Box of 35",4180186
2724738,"Bypass 1 Cor Art from Cor Art, Open Approach",4180186
2724738,"Bypass Coronary Artery, One Artery from Coronary Artery, Open Approach",4180186
2724738,"Medical and Surgical @ Heart and Great Vessels @ Bypass @ Coronary Artery, One Artery @ Open @ No Device @ Coronary Artery",4180186
2725227,"Bypass 2 Cor Art from Aorta with Autol Vn, Open Approach",4180186
2725227,"Bypass Coronary Artery, Two Arteries from Aorta with Autologous Venous Tissue, Open Approach",4180186
2725227,"Medical and Surgical @ Heart and Great Vessels @ Bypass @ Coronary Artery, Two Arteries @ Open @ Autologous Venous Tissue @ Aorta",4180186
40177143,"0.2 ML Dalteparin Sodium 25000 UNT/ML Prefilled Syringe [Fragmin]",4180186
40177143,"0.2 ML Fragmin 25000 UNT/ML Prefilled Syringe",4180186
40177143,"Fragmin 5000 UNT per 0.2 ML Prefilled Syringe",4180186
41074130,"dabigatran etexilate 110 MG Oral Capsule [Pradaxa] Box of 180 by Orifarm Leverkus",4180186
2103352,"I&D DEEP ABSC/HMTMA SOFT TISSUE NECK/THORAX",4180186
2103352,"Incision and drainage, deep abscess or hematoma, soft tissues of neck or thorax",4180186
2103352,"Incision and drainage of abscess or blood accumulation in soft tissues of neck or chest",4180186
2103352,"Incision and drainage of deep abscess of soft tissue of neck",4180186
2103352,"Incision and drainage of deep abscess of soft tissue of thorax",4180186
2103352,"Incision and drainage of hematoma of soft tissue of neck",4180186
2103352,"Incision and drainage of hematoma of soft tissue of thorax",4180186
41127669,"Enoxaparin 10 UNT/ML Prefilled Syringe [Clexane] Box of 2",4180186
41404892,"0.2 ML Dalteparin 25000 UNT/ML Prefilled Syringe [Fragmin] Box of 10 by Beragena",4180186
35785902,"0.8 ML Enoxaparin 150 MG/ML Injectable Solution [Clexane] by Sanofi",4180186
44125600,"Dalteparin 12500 UNT/ML Injection [Fragmin]",4180186
43593984,"0.4 ML Enoxaparin 10000 UNT/ML Injectable Solution [Clexane] by Sanofi",4180186
43842554,"1 ML Dalteparin 25000 UNT/ML Injectable Solution",4180186
35757517,"apixaban 5 MG Delayed Release Oral Tablet [Eliquis] Box of 56 by Bristol Myers Squibb",4180186
35759191,"Warfarin 5 MG Oral Tablet by Arrow Generics",4180186
21144638,"Warfarin 3 MG Oral Tablet by Ivax",4180186
21177066,"0.8 ML Enoxaparin 100 MG/ML Prefilled Syringe [Clexane] Box of 10 by Sanofi",4180186
45155068,"Warfarin Sodium 2 MG Oral Tablet",4180186
437106,"Intracranial haemorrhage following injury with prolonged loss of consciousness without return to pre-existing conscious level",4180186
437106,"Intracranial hemorrhage following injury with prolonged loss of consciousness without return to pre-existing conscious level",4180186
437106,"Intracranial hemorrhage following injury with prolonged loss of consciousness without return to pre-existing conscious level (disorder)",4180186
43844307,"10 ML Enoxaparin 100 MG/ML Injectable Solution [Qualiop] Box of 5",4180186
38004285,"Hospitals, Rehabilitation Hospital",4180186
2788063,"Extracorporeal or Systemic Therapies @ Physiological Systems @ Pheresis @ Circulatory @ Single @ No Qualifier @ Erythrocytes",4180186
2788063,"Pheresis of Erythrocytes, Single",4180186
2721699,"Hospice routine home care",4180186
2721699,"Hospice routine home care; per diem",4180186
41318035,"apixaban 5 MG Delayed Release Oral Tablet [Eliquis] Box of 20",4180186
41199591,"dabigatran etexilate 110 MG Oral Capsule [Pradaxa] Box of 60 by Kohlpharma",4180186
41023343,"Enoxaparin 10 UNT/ML Prefilled Syringe Box of 2",4180186
42894240,"Bypass 3 Cor Art from Aorta w Zooplastic, Perc Endo",4180186
42894240,"Bypass Coronary Artery, Three Arteries from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach",4180186
42894240,"Medical and Surgical @ Heart and Great Vessels @ Bypass @ Coronary Artery, Three Arteries @ Percutaneous Endoscopic @ Zooplastic Tissue @ Aorta",4180186
2788065,"Extracorporeal or Systemic Therapies @ Physiological Systems @ Pheresis @ Circulatory @ Single @ No Qualifier @ Platelets",4180186
2788065,"Pheresis of Platelets, Single",4180186
41410046,"0.5 ML fondaparinux 5 MG/ML Prefilled Syringe [Arixtra] Box of 20 by Axicorp",4180186
43741723,"0.72 ML Dalteparin 226 MG/ML Injectable Solution Box of 100",4180186
21109316,"Dalteparin 12500 UNT/ML Prefilled Syringe Box of 10",4180186
4137612,"Partial hip replacement by cup with acetabuloplasty",4180186
4137612,"Partial hip replacement by cup with acetabuloplasty (procedure)",4180186
21037776,"1 ML Dalteparin 10000 UNT/ML Prefilled Syringe [Fragmin] Box of 5",4180186
45196116,"Warfarin Sodium 3 MG Oral Tablet [Coumadin]",4180186
41336154,"1 ML Enoxaparin 100 MG/ML Prefilled Syringe [Clexane] Box of 100 by Sanofi",4180186
41404898,"0.2 ML Dalteparin 12500 UNT/ML Prefilled Syringe Box of 12",4180186
45271364,"Warfarin Sodium 5 MG Oral Tablet [Jantoven]",4180186
2514514,"SUPERVISION NURS FACILITY PATIENT MO 15-29 MIN",4180186
2514514,"Supervision of a nursing facility patient (patient not present) requiring complex and multidisciplinary care modalities involving regular development and/or revision of care plans by that individual, review of subsequent reports of patient status, review of related laboratory and other studies, communication (including telephone calls) for purposes of assessment or care decisions with health care professional(s), family member(s), surrogate decision maker(s) (eg, legal guardian) and/or key caregiver(s) involved in patient's care, integration of new information into the medical treatment plan and/or adjustment of medical therapy, within a calendar month; 15-29 minutes",4180186
2514514,"Supervision of care of nursing facility patient, without patient present - 15-29 minutes",4180186
2514514,"Supervision of nursing facility patient services, 15-29 minutes per month",4180186
45277782,"Warfarin Sodium 1 MG Oral Tablet",4180186
41404840,"0.2 ML Dalteparin 25000 UNT/ML Prefilled Syringe [Fragmin] Box of 20",4180186
36263316,"apixaban 5 MG Oral Tablet [Eliquis] Box of 168",4180186
41404850,"0.2 ML Enoxaparin 100 MG/ML Prefilled Syringe [Clexane] Box of 10 by Orifarm Leverkus",4180186
21051084,"apixaban 2.5 MG Oral Tablet Box of 60",4180186
44132970,"0.8 ML Enoxaparin 100 MG/ML Injectable Solution [Lovenox]",4180186
43165392,"2.5 ML argatroban 100 MG/ML Prefilled Syringe [ARGANOVA] Box of 6",4180186
763786,"Closed fracture of right tibial spine",4180186
763786,"Closed fracture of spine of right tibia",4180186
763786,"Closed fracture of spine of right tibia (disorder)",4180186
40483189,"Arteriosclerosis of arterial coronary artery bypass graft",4180186
40483189,"Arteriosclerosis of arterial coronary artery bypass graft (disorder)",4180186
45206390,"Warfarin Sodium 3 MG Oral Tablet",4180186
44834755,"Ch DVT/embl dstl low ext",4180186
44834755,"Chronic venous embolism and thrombosis of deep vessels of distal lower extremity",4180186
40961166,"Enoxaparin 10 UNT/ML Prefilled Syringe",4180186
41406589,"0.4 ML Enoxaparin 100 MG/ML Prefilled Syringe [Lovenox] Box of 20 by Kohlpharma",4180186
760214,"Closed distal epiphyseal fracture of left femur",4180186
760214,"Closed fracture of epiphysis of distal left femur",4180186
760214,"Closed fracture of epiphysis of distal left femur (disorder)",4180186
43845952,"0.2 ML Dalteparin 25000 UNT/ML Injectable Solution Box of 2",4180186
40719666,"0.2 ML Enoxaparin 100 MG/ML Injectable Solution [Inhixa] Box of 10 by Techdow England",4180186
41406528,"0.4 ML Enoxaparin 100 MG/ML Prefilled Syringe [Clexane] Box of 10 by Emra-Med",4180186
45120008,"Warfarin Sodium 6 MG Oral Tablet",4180186
21147405,"0.2 ML Dalteparin 12500 UNT/ML Prefilled Syringe [Fragmin] Box of 10 by Waymade",4180186
40728107,"Enoxaparin Injectable Solution [Arovi]",4180186
2617455,"Lev 2 hosp type b ed visit",4180186
2617455,"Level 2 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)",4180186
760242,"Closed fracture of lateral condyle of proximal right tibia",4180186
760242,"Closed fracture of lateral condyle of proximal right tibia (disorder)",4180186
44824319,"Atrophic gastritis, without mention of hemorrhage",4180186
44824319,"Atrph gastrtis w/o hmrhg",4180186
42876362,"0.4 ML Dalteparin 25000 UNT/ML Prefilled Syringe [Fragmin] Box of 20 by Axicorp",4180186
45294837,"Warfarin Sodium 2.5 MG Oral Tablet",4180186
43773952,"0.4 ML Enoxaparin 10000 UNT/ML Injectable Solution Box of 20",4180186
40867639,"Enoxaparin 10 UNT/ML Prefilled Syringe Box of 100",4180186
765296,"Open bimalleolar fracture of left ankle",4180186
765296,"Open bimalleolar fracture of left ankle (disorder)",4180186
43720093,"0.8 ML Enoxaparin 100 MG/ML Injectable Solution",4180186
762934,"Cerebral infarction due to posterior cerebral artery occlusion",4180186
762934,"Cerebral infarction due to posterior cerebral artery occlusion (disorder)",4180186
41211416,"Enoxaparin 6 UNT/ML Prefilled Syringe",4180186
45162851,"Warfarin Sodium 2 MG Oral Tablet",4180186
44870593,"Warfarin Sodium 5 MG Oral Tablet",4180186
4251929,"TEA - Thromboendarterectomy",4180186
4251929,"Thromboendarterectomy",4180186
4251929,"Thromboendarterectomy (procedure)",4180186
44835116,"Cl skull fx NEC-concuss",4180186
44835116,"Other closed skull fracture with other and unspecified intracranial hemorrhage, with concussion, unspecified",4180186
43139244,"argatroban Prefilled Syringe [ARGANOVA]",4180186
44111061,"Warfarin 2.5 MG Oral Tablet [Mylan-Warfarin]",4180186
4125930,"Plasma expander transfusion",4180186
4125930,"Plasma expander transfusion (procedure)",4180186
45382125,"Warfarin Sodium 2 MG Oral Tablet",4180186
44820936,"Ac marginal ulcer w hem",4180186
44820936,"Acute gastrojejunal ulcer with hemorrhage, without mention of obstruction",4180186
